id,Nom,Description,Valeurs,Dépendance (parents),Dépendance (enfants),Échantillonneur,Source
,Windows,Type de fenêtre,"['Double, Clear, Metal, Air', 'Double, Clear, Non-metal, Air', 'Double, Clear, Thermal-Break, Air', 'Double, Low-E, L-Gain', 'Double, Low-E, Non-metal, Air, L-Gain', 'Double, Low-E, Non-metal, Air, M-Gain', 'Single, Clear, Metal', 'Single, Clear, Non-metal', 'Triple, Low-E, Non-metal, Air, L-Gain']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Wall,Type d'isolation des murs,"['QC_WoodStud-R14.5', 'QC_WoodStud-R14', 'QC_WoodStud-R17.2', 'QC_WoodStud-R20.7', 'QC_WoodStud-R24.5', 'QC_WoodStud-R12.2', 'QC_WoodStud-R12.6', 'QC_WoodStud-R18.9']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Ceiling,Type d'isolation du plafond,"['QC_R19.6', 'QC_R24.6', 'QC_R27.3', 'QC_R30.9', 'QC_R41', 'QC_R12.5', 'QC_R18.3', 'QC_R29.8']","['Type_Logement', 'An_Construction']",[],BuildstockBatchArguments,
,Insulation Foundation Wall,Type d'isolation du mur de fondation,"['QC_Wall-R10.1, interior', 'QC_Wall-R12, interior', 'QC_Wall-R14.4, interior', 'QC_Wall-R17.1, interior', 'QC_Wall-R17, interior']",['An_Construction'],[],BuildstockBatchArguments,
,Geometry Wall Exterior Finish,Type de revêtement extérieur des murs,['None'],[],[],BuildstockBatchArguments,
,geometry attic type,Type de grenier,['Vented Attic'],[],[],BuildstockBatchArguments,
,HVAC Has Shared System,Système de chauffage partagé,['None'],[],[],BuildstockBatchArguments,
,HVAC Heating Efficiency,Efficacité du système de chauffage,"['Electric Baseboard, 100% Efficiency', 'Electric Furnace, 100% AFUE', 'Electric Boiler, 100% AFUE', 'ASHP, SEER 10, 6.2 HSPF', 'ASHP, SEER 13, 7.7 HSPF', 'ASHP, SEER 15, 8.5 HSPF', 'Electric Wall Furnace, 100% AFUE', 'Fuel Furnace, 80% AFUE', 'Fuel Boiler, 80% AFUE', 'Fuel Wall/Floor Furnace, 68% AFUE', 'Fuel Boiler, 72% AFUE', 'Fuel Wall/Floor Furnace, 60% AFUE', 'Fuel Boiler, 72% AFUE & Electric Baseboard, 100% Efficiency', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & ASHP, SEER 10, 6.2 HSPF', 'Fuel Boiler, 72% AFUE & ASHP, SEER 13, 7.7 HSPF', 'Fuel Boiler, 72% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Fuel Boiler, 72% AFUE & Electric Furnace, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Boiler, 100% AFUE', 'Fuel Boiler, 72% AFUE & Electric Wall Furnace, 100% AFUE.1', 'Fuel Boiler, 72% AFUE & Fuel Furnace, 80% AFUE', 'Fuel Boiler, 72% AFUE & Fuel Boiler, 80% AFUE', 'Fuel Furnace, 80% AFUE & ASHP, SEER 10, 6.2 HSPF', 'Fuel Furnace, 80% AFUE & ASHP, SEER 13, 7.7 HSPF', 'Fuel Furnace, 80% AFUE & ASHP, SEER 15, 8.5 HSPF', 'Electric Furnace, 100% AFUE & Fuel Furnace, 80% AFUE', 'Electric Boiler, 100% AFUE & Fuel Boiler, 80% AFUE', 'GSHP, EER 16.6, COP 3.6', 'GSHP, EER 18.6, COP 3.8', 'GSHP, EER 20.2, COP 4.2', 'GSHP, EER 20.5, COP 4.0', 'GSHP, EER 30.9, COP 4.4', 'MSHP, SEER 14.5, 8.2 HSPF', 'MSHP, SEER 17, 9.5 HSPF', 'MSHP, SEER 25, 12.7 HSPF', 'MSHP, SEER 29.3, 14 HSPF', 'MSHP, SEER 33, 13.3 HSPF', 'MSHP, SEER2 22.7, 10.3 HSPF2, Typical Cold Climate']","['Source_Energie_Chauf', 'Chauffage_Logement']",[],BuildstockBatchArguments,
,Spa ChaufType,Type de chauffage du spa,"['none', 'electric resistance', 'gas fired', 'heat pump']",['Spa_Presence'],[],BuildstockBatchArguments,
,Usage Level,Usage of major appliances relative to the USA average.,"['Low', 'Medium', 'High', 'Average']",[],"['Cooking Range Usage Level', 'Clothes Washer Usage Level', 'Clothes Dryer Usage Level', 'Refrigerator Usage Level', 'Diswasher Usage Level']",BuildstockBatchArguments,ResStock
,Cooking Range Usage Level,Cooking Range energy usage level multiplier.,"['80% Usage', '100% Usage', '120% Usage']",['Usage Level'],[],BuildstockBatchArguments,ResStock
,Clothes Washer Usage Level,Clothes Washer energy usage level multiplier.,"['80% Usage', '100% Usage', '120% Usage']",['Usage Level'],[],BuildstockBatchArguments,ResStock
,Clothes Dryer Usage Level,Clothes Dryer energy usage level multiplier.,"['80% Usage', '100% Usage', '120% Usage']",['Usage Level'],[],BuildstockBatchArguments,ResStock
,Refrigerator Efficiency,Rated efficiency of the primary refrigerator.,"['EF 6.7', 'EF 10.2', 'EF 10.5', 'EF 15.9', 'EF 17.6', 'EF 19.9', 'EF 21.9', 'None', 'Void']",[],[],BuildstockBatchArguments,ResStock
,Freezer Efficiency,Rated efficiency of the primary freezer.,"['EF 12, National Average']",[],[],BuildstockBatchArguments,ResStock
,Refrigerator Extra Efficiency,Rated efficiency of the extra refrigerator.,"['EF 6.7', 'EF 10.2', 'EF 10.5', 'EF 15.9', 'EF 17.6', 'EF 19.9', 'EF 21.9', 'None', 'Void']",[],[],BuildstockBatchArguments,ResStock
,Refrigerator Usage Level,Refrigerator energy usage level multiplier.,"['95% Usage', '100% Usage', '105% Usage']",['Usage Level'],[],BuildstockBatchArguments,ResStock
,Dishwasher Energy,Dishwasher energy.,"['290 Rated kWh', '318 Rated kWh']",[],[],BuildstockBatchArguments,ResStock
,Diswasher Usage Level,Dishwasher energy usage level multiplier.,"['80% Usage', '100% Usage', '120% Usage']",['Usage Level'],[],BuildstockBatchArguments,ResStock
,Lighting Usage Level,Lighting usage level multiplier. Only 100%,"['95% Usage', '100% Usage', '105% Usage']",[],[],BuildstockBatchArguments,ResStock
,Door Area,Door Area,['20 ft^2'],[],[],BuildstockBatchArguments,ResStock
,Door Rvalue,Door Rvalue,['Fiberglass'],[],[],BuildstockBatchArguments,ResStock
,Geometry Foundation Type,Type de fondation géométrique,"['Ambient', 'Heated Basement', 'Slab', 'Unheated Basement', 'Unvented Crawlspace', 'Vented Crawlspace']","['Type_Logement', 'Presence_SousSol']",['Insulation Floor'],BuildstockBatchArguments,ResStock
,Insulation Floor,Type d'isolation du plancher,"['None', 'Uninsulated', 'Ceiling R-13', 'Ceiling R-19', 'Ceiling R-30']","['Type_Logement', 'An_Construction', 'Geometry Foundation Type']",[],BuildstockBatchArguments,
,Plug Load,Charge électrique des appareils aux prises,"['78%', '79%', '82%', '84%', '85%', '86%', '89%', '91%', '94%', '95%', '96%', '97%', '99%', '100%', '101%', '102%', '103%', '104%', '105%', '106%', '108%', '110%', '113%', '119%', '121%', '123%', '134%', '137%', '140%', '144%', '166%']",['Type_Logement'],[],BuildstockBatchArguments,
