Dependency=Type_Logement;Dependency=An_Construction;Option=QC_R19.6;Option=QC_R24.6;Option=QC_R27.3;Option=QC_R30.9;Option=QC_R41;Option=QC_R12.5;Option=QC_R18.3;Option=QC_R29.8
Maison individuelle;[1990 - 2000);0.14185045663729065;0.21089801517783804;0.16529782653496924;0.1861741889119009;0.11160759728675473;0.021130380235197654;0.04234010373540581;0.12070143148064305
Maison individuelle;[2000 - 2010);0.026201029230727736;0.05187373600977615;0.07500612185490856;0.23077463024448303;0.5335187971785954;0.003835804231994177;0.006684196664794183;0.07210568458472086
Maison individuelle;[2010 - 2020);0.003927584573358352;0.00837426224109774;0.013053109268102076;0.11084014843695711;0.8457102335416862;0.0016575933132318113;0.000415274475504829;0.016021794150062028
Maison individuelle;>= 2020;0.0008920308218921184;0.001520696752604313;0.00276893356676932;0.0578580959231183;0.933475865701881;0.0001796188373463413;0.00026639657359971787;0.003038361822788832
Maison en rangee;< 1950;0.08144808654323567;0.08349935796267854;0.06190159689923018;0.09426646089152454;0.2614232757421795;0.2953446240349108;0.08394038615466559;0.03817621177157517
Maison en rangee;[1950 - 1960);0.10673510756619439;0.11418376138540956;0.05933927620610426;0.0854646948451413;0.1264033005483613;0.3164469199653359;0.1289358489700907;0.06249109051336269
Maison en rangee;[1960 - 1970);0.13884330880258022;0.12779439554702315;0.03404742229441961;0.030107113344162946;0.048779306635162355;0.42479655110586045;0.16552478892662845;0.030107113344162946
Maison en rangee;[1970 - 1980);0.11467530024667293;0.09575045600781275;0.0585564470491218;0.0494780657908375;0.04211371498695916;0.4781669034697444;0.12576745116806234;0.035491661280789226
Maison en rangee;[1980 - 1990);0.18725110453915025;0.18814759705181283;0.18162208186831633;0.11166712144661445;0.07613272196772032;0.11175405985598395;0.08097929895422863;0.06244601431617325
Maison en rangee;[1990 - 2000);0.15095808516878764;0.19752765740419853;0.1349665000570383;0.15267265101374167;0.10365246464298591;0.06440955015400346;0.08013348134197429;0.11567961021727022
Maison en rangee;[2000 - 2010);0.032170804593624466;0.06253056752427676;0.0733968175021098;0.35532308190152023;0.36726675295968314;0.017988146532614695;0.012432751446591126;0.07889107753957986
Maison en rangee;[2010 - 2020);0.003266123643888873;0.01850511992219428;0.01112830500232445;0.060661599541463024;0.8974009384271953;0.0016330618219444364;0.0012458239072982277;0.006159027733691471
Maison en rangee;>= 2020;0.0009243994136115031;0.00045426457287067046;0.0009243994136115031;0.03633724195251155;0.9585706261386902;0.0013945342543523356;0.0;0.0013945342543523356
