Dependency=Type_Logement;Dependency=An_Construction;Dependency=Geometry Foundation Type;Option=None;Option=Uninsulated;Option=Ceiling R-13;Option=Ceiling R-19;Option=Ceiling R-30
Duplex;< 1950;Unheated Basement;0;1.0;0.0;0.0;0.0
Duplex;[1950 - 1960);Unheated Basement;0;1.0;0.0;0.0;0.0
Duplex;[1960 - 1970);Unheated Basement;0;1.0;0.0;0.0;0.0
Duplex;[1970 - 1980);Unheated Basement;0;1.0;0.0;0.0;0.0
Duplex;[1980 - 1990);Unheated Basement;0;0.5008333333333334;0.1575;0.3408333333333333;0.0
Duplex;[1990 - 2000);Unheated Basement;0;0.065;0.41666666666666674;0.5191666666666666;0.0
Duplex;[2000 - 2010);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Duplex;[2010 - 2020);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Duplex;>= 2020;Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Triplex;< 1950;Unheated Basement;0;1.0;0.0;0.0;0.0
Triplex;[1950 - 1960);Unheated Basement;0;1.0;0.0;0.0;0.0
Triplex;[1960 - 1970);Unheated Basement;0;1.0;0.0;0.0;0.0
Triplex;[1970 - 1980);Unheated Basement;0;1.0;0.0;0.0;0.0
Triplex;[1980 - 1990);Unheated Basement;0;0.5008333333333334;0.1575;0.3408333333333333;0.0
Triplex;[1990 - 2000);Unheated Basement;0;0.065;0.41666666666666674;0.5191666666666666;0.0
Triplex;[2000 - 2010);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Triplex;[2010 - 2020);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Triplex;>= 2020;Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Collective;< 1950;Unheated Basement;0;1.0;0.0;0.0;0.0
Collective;[1950 - 1960);Unheated Basement;0;1.0;0.0;0.0;0.0
Collective;[1960 - 1970);Unheated Basement;0;1.0;0.0;0.0;0.0
Collective;[1970 - 1980);Unheated Basement;0;1.0;0.0;0.0;0.0
Collective;[1980 - 1990);Unheated Basement;0;0.5008333333333334;0.1575;0.3408333333333333;0.0
Collective;[1990 - 2000);Unheated Basement;0;0.065;0.41666666666666674;0.5191666666666666;0.0
Collective;[2000 - 2010);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Collective;[2010 - 2020);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Collective;>= 2020;Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Maison individuelle;< 1950;Unheated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;[1950 - 1960);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;[1960 - 1970);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;[1970 - 1980);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison individuelle;[1980 - 1990);Unheated Basement;0;0.5008333333333334;0.1575;0.3408333333333333;0.0
Maison individuelle;[1990 - 2000);Unheated Basement;0;0.065;0.41666666666666674;0.5191666666666666;0.0
Maison individuelle;[2000 - 2010);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Maison individuelle;[2010 - 2020);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Maison individuelle;>= 2020;Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Maison en rangee;< 1950;Unheated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1950 - 1960);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1960 - 1970);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1970 - 1980);Unheated Basement;0;1.0;0.0;0.0;0.0
Maison en rangee;[1980 - 1990);Unheated Basement;0;0.5008333333333334;0.1575;0.3408333333333333;0.0
Maison en rangee;[1990 - 2000);Unheated Basement;0;0.065;0.41666666666666674;0.5191666666666666;0.0
Maison en rangee;[2000 - 2010);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
Maison en rangee;[2010 - 2020);Unheated Basement;0;0.13333333333333333;0.2916666666666667;0.5758333333333333;0.0
