Dependency=Type_Logement;Dependency=An_Construction;Option=Double, Clear, Metal, Air;Option=Double, Clear, Non-metal, Air;Option=Double, Clear, Thermal-Break, Air;Option=Double, Low-E, L-Gain;Option=Double, Low-E, Non-metal, Air, L-Gain;Option=Double, Low-E, Non-metal, Air, M-Gain;Option=Single, Clear, Metal;Option=Single, Clear, Non-metal;Option=Triple, Low-E, Non-metal, Air, L-Gain
Maison individuelle;[1980 - 1990);0.0645091229265026;0.6266600512860252;0.0;0.01843117797900074;0.14744942383200593;0.03686235595800148;0.030188559765042564;0.0;0.0758993082534215
Maison individuelle;[1990 - 2000);0.06569558091853676;0.6381856432086428;0.0;0.01877016597672479;0.15016132781379832;0.03754033195344958;0.011277393345757183;0.0;0.07836955678309052
Maison individuelle;[2000 - 2010);0.06665628407214018;0.6475181881293618;0.0;0.019044652592040048;0.15235722073632038;0.038089305184080095;0.004211023630329705;0.0;0.0721233256557278
Maison individuelle;[2010 - 2020);0.016575295576050503;0.34808120709706053;0.0;0.016575295576050503;0.2734923770048333;0.07458883009222726;0.0008985102310447935;0.0008985102310447935;0.26888997419168825
Maison individuelle;>= 2020;0.012864166843888056;0.27014750372164914;0.0;0.012864166843888056;0.21225875292415292;0.057888750797496245;0.01157861557431777;0.01157861557431777;0.41081942772029006
Maison en rangee;< 1950;0.07089595203511506;0.648191561463909;0.0;0.010127993147873578;0.13166391092235652;0.04051197259149431;0.0;0.050944232439287446;0.0476643773999642
Maison en rangee;[1950 - 1960);0.11728477516983551;0.5864238758491774;0.0;0.02932119379245888;0.12705850643398847;0.039094925056611836;0.009187950981724077;0.027563852945172225;0.06406491977103164
Maison en rangee;[1960 - 1970);0.12279362451195408;0.6139681225597705;0.0;0.03069840612798852;0.1330264265546169;0.04093120817065137;0.006975027299471106;0.020925081898413314;0.03068210287713407
Maison en rangee;[1970 - 1980);0.06336980656578207;0.5808898935196692;0.0;0.010561634427630353;0.242917591835498;0.05280817213815175;0.014320958298845788;0.014320958298845788;0.020810984915576942
Maison en rangee;[1980 - 1990);0.06791906578943116;0.6597852105259026;0.0;0.0194054473684089;0.1552435789472712;0.0388108947368178;0.02194377946152712;0.0;0.03689202317064132
Maison en rangee;[1990 - 2000);0.06693465482940622;0.6502223611999457;0.0;0.01912418709411606;0.15299349675292848;0.03824837418823212;0.007509400544848652;0.0;0.06496752539052285
Maison en rangee;[2000 - 2010);0.0661166335269337;0.6422758685473559;0.0;0.018890466721981053;0.15112373377584842;0.037780933443962106;0.003557225546930492;0.0;0.08025513843698852
Maison en rangee;[2010 - 2020);0.018671336694288297;0.3920980705800542;0.0;0.018671336694288297;0.308077055455757;0.08402101512429731;0.0005614679699958934;0.0005614679699958934;0.1773382495113233
Maison en rangee;>= 2020;0.015655693294699333;0.32876955918868594;0.0;0.015655693294699333;0.25831893936253897;0.07045061982614699;0.0;0.0;0.3111494950332295
