Dependency=Type_Logement;Dependency=An_Construction;Option=QC_WoodStud-R14.5;Option=QC_WoodStud-R14;Option=QC_WoodStud-R17.2;Option=QC_WoodStud-R20.7;Option=QC_WoodStud-R24.5;Option=QC_WoodStud-R12.2;Option=QC_WoodStud-R12.6;Option=QC_WoodStud-R18.9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;source_count;source_weight;sampling_probability
Triplex;>= 2020;0.03992577871353186;0.02040903083197863;0.0;0.08574985792154001;0.02229662166941996;0.6929234821817176;0.01911814517814986;0.11957708350366215;;;;;;;;;;
Collective;< 1950;0.044596663833765475;0.022170724558934818;0.46112109439313204;0.05835655584067775;0.04935732798896722;0.14391389759180895;0.11499219797919333;0.10549153781352033;;;;;;;;;;
Collective;[1950 - 1960);0.04372221944486813;0.021736004469543945;0.4520795043069923;0.057212309647723295;0.04838953724408552;0.16069989959981273;0.11273744899920916;0.10342307628776505;;;;;;;;;;
Collective;[1960 - 1970);0.04288140753246714;0.02131800438359134;0.4433856676857074;0.05611207292372905;0.04745896922016117;0.17684028614596373;0.11056942113384062;0.10143417097453959;;;;;;;;;;
Collective;[1970 - 1980);0.03981955466077345;0.01979583902809881;0.4117266863697739;0.05210551340284289;0.0440702655941351;0.18266667841662515;0.15562397610014697;0.09419148642760362;;;;;;;;;;
Collective;[1980 - 1990);0.04288189351628602;0.021318245984923417;0.443390692666752;0.056112708853402395;0.047459507082428964;0.13838031595926611;0.1490213153880614;0.10143532054887988;;;;;;;;;;
Collective;[1990 - 2000);0.03054849509374392;0.015186837135126178;0.6308706035631826;0.039973953352918694;0.03380952659444628;0.09858031109439916;0.07876908929511765;0.07226118387106557;;;;;;;;;;
Collective;[2000 - 2010);0.04129320725348655;0.020528448665680387;0.4825195318454926;0.07255236651914607;0.04570122961941409;0.13325360888130458;0.10647425738814197;0.09767734982733364;;;;;;;;;;
Collective;[2010 - 2020);0.08693854816816123;0.0432205111165878;0.38971882229902555;0.06263133163490887;0.07868562770382456;0.07575394468396264;0.06053003045967741;0.20252118393385202;;;;;;;;;;
Collective;>= 2020;0.028961563296568644;0.014397912028527733;0.3507983280856825;0.15431197743335895;0.1759320586472316;0.10674298846456509;0.07467719632122906;0.0941779757228364;;;;;;;;;;
Maison individuelle;< 1950;0.020942603082614034;0.021575316773986965;0.03514578277389605;0.0033697116956660105;0.004025330191350204;0.873711667812943;0.035801401269580244;0.005428186399963633;;;;;;;;;;
Maison individuelle;[1950 - 1960);0.028562770369851873;0.02073981325070064;0.03138754287968694;0.007529181715001583;0.0040849535958398875;0.8716463258387688;0.031029957873482613;0.005019454476667723;;;;;;;;;;
Maison individuelle;[1960 - 1970);0.023424476617912877;0.014980115453033615;0.03021928634809432;0.005540491684918948;0.0033728293661669504;0.8732035131992176;0.03934251184335977;0.009916775487295894;;;;;;;;;;
Maison individuelle;[1970 - 1980);0.022279124764832705;0.014165309811531641;0.028089173865826742;0.0029120916352010956;0.0031959399006620953;0.87723220837714;0.047548661535260314;0.0045774901095453555;;;;;;;;;;
Maison individuelle;[1980 - 1990);0.18618499111100076;0.014934530639843391;0.2270418127735774;0.003376813420627532;0.00155426453404614;0.5203339137781945;0.035035035455640205;0.011538638287069861;;;;;;;;;;
Maison individuelle;[1990 - 2000);0.1826478074200886;0.01408073380681409;0.6013442634216135;0.003527653120002647;0.00251609361552885;0.15995335081620357;0.013381821524851737;0.022548276274896927;;;;;;;;;;
Maison individuelle;[2000 - 2010);0.06380717011953908;0.004501993980820498;0.7151936312429131;0.11700485858554477;0.04095898035394521;0.02919108263472879;0.0034031296477040666;0.025939153434804442;;;;;;;;;;
Maison individuelle;[2010 - 2020);0.06546772271766187;0.0011353492412337711;0.8443598616619596;0.025227453402704512;0.013551891056808612;0.004537891284282809;0.0014504078134874071;0.04426942282186139;;;;;;;;;;
Maison individuelle;>= 2020;0.005631213970684737;8.981748512929681e-05;0.8941230186334669;0.014421199694484287;0.004293047557898938;0.0010687139573979075;0.0;0.08037298870093801;;;;;;;;;;
Maison en rangee;< 1950;0.09919973610738829;0.01570757294351229;0.1684601878464047;0.04247366293110411;0.01756881000965329;0.6111841936362435;0.01895976736083987;0.02644606916485374;;;;;;;;;;
Maison en rangee;[1950 - 1960);0.0536867240483909;0.006368815278962072;0.07515222479996803;0.01717540004556404;0.007123475155904129;0.8017698760587505;0.02800062310028909;0.010722861512171115;;;;;;;;;;
Maison en rangee;[1960 - 1970);0.015246560070884707;0.0074946111029068644;0.007365942170371375;0.0;0.0;0.9283508532585107;0.034047422294419614;0.0074946111029068644;;;;;;;;;;
Maison en rangee;[1970 - 1980);0.019753758915247607;0.013611730499174331;0.009876879457623803;0.0005362263917277465;0.0;0.9327140610788847;0.023507343657341834;0.0;;;;;;;;;;
Maison en rangee;[1980 - 1990);0.10055584450471818;0.03810983018854492;0.10535895228654173;0.01145903057937433;0.0;0.6924155201679356;0.052100822272885296;0.0;;;;;;;;;;
Maison en rangee;[1990 - 2000);0.24423105660149863;0.025568116550688753;0.4489098159688979;0.0;0.0;0.23841822425719034;0.019420716801657353;0.023452069820066996;;;;;;;;;;
Maison en rangee;[2000 - 2010);0.26890308656556144;0.023157535540439093;0.43989373487417244;0.11434082602187122;0.09281388006441371;0.03567409003725434;0.009071637428194708;0.016145209468093124;;;;;;;;;;
Maison en rangee;[2010 - 2020);0.24755960199224533;0.014753629839739662;0.4687571788848927;0.06803841446133285;0.04182531514686227;0.0028788857292426644;0.0008025125504122847;0.15538446139527226;;;;;;;;;;
Maison en rangee;>= 2020;0.0441598521157053;0.00045447823892514765;0.775739568568072;0.010236687244534606;0.005046893825812896;0.0004703559714705714;0.0;0.16389216403547952;;;;;;;;;;
